6133,"571135
691885
192000"
6219,"352102
155286"
6283,"355544
155679"
6303,"366080
155805"
6390,"3191275
156278"
6447,"365787
156669"
6493,"3105245
156845"
6676,"897653
157744"
6807,"2782395
2434603
158361"
6818,"359283
778207
158417"
6991,"826580
159289
159279"
7049,"1223362
159555"
7062,"356466
159644"
7142,"892029
160075"
7163,"361067
160321"
7194,"590699
160474"
7272,"691823
160842"
7323,"2576112
161120"
7403,"885620
161539"
7428,"892377
161682"
7452,"364348
161752"
7543,"888190
162188"
7656,"1168595
176894"
7663,"356005
162948"
7780,"897966
163740"
7796,"1659890
163860"
7836,"367822
164123"
7864,"357956
164267"
7903,"713444
237464"
7951,"877679
164795"
7960,"440541
164831"
8020,"892332
167201"
8101,"361631
168098"
8162,"892330
168644"
8165,"691923
168649"
8300,"355530
170060"
8331,"1474366
170449"
8342,"366215
170586"
8349,"1004544
170758
170757"
8389,"569831
176898"
8406,"3191319
171305"
8546,"3191304
172852"
8550,"897798
172857"
8557,"365150
172986"
8568,"364018
173120"
8580,"365184
173251"
8615,"366076
173697"
8616,"369246
173693"
8650,"369245
173885"
8902,"355534
176615"
9103,"897763
179382"
9122,"359334
179636"
9135,"1459792
179707"
9235,"3188007
236835"
9249,"440614
85096
182387"
9336,"728592
218766
81105
81103
183273"
9372,"1217900
183830"
9378,"349606
183897"
9392,"897835
184110"
9435,"358026
184482"
9490,"364016
184963"
9500,"8732696
214321"
9557,"892360
186652"
9584,"12351075
12351074
176906"
9587,"2664580
176909
10616288"
9597,"3005092
176919"
9599,"351490
186979"
9633,"356856
187365"
9683,"692625
187925
145016"
9753,"897762
188601"
9772,"892354
188704"
9831,"897965
189110"
9836,"357845
189122"
9905,"1133619
176954
108036
9029768"
9977,"352234
235994"
10008,"355386
235799"
10014,"366965
235771"
10022,"832879
235725"
10028,"546313
235706"
10038,"1659893
235650"
10078,"1350229
176925"
10083,"582908
235204"
10095,"2808563
235143"
10106,"891820
235050"
10121,"356541
234923"
10123,"355999
234905"
10126,"2808565
234874"
10171,"352178
234519"
10176,"352844
234509"
10181,"349495
234483"
10223,"365364
125867"
10262,"359210
233618"
10265,"353184
233598"
10322,"356011
232934"
10350,"1218332
232582"
10357,"2808568
232499"
10369,"692425
232355"
10374,"348758
232295
189023"
10378,"722109
232265"
10423,"399602
122333"
10436,"529703
231540"
10467,"355528
231247"
10477,"364019
231150
222742"
10512,"892353
230735"
10520,"366212
230614"
10556,"359266
230208"
10577,"898025
230047"
10611,"364203
229738
2416433
126274"
10615,"348765
229692"
10641,"937235
229477"
10698,"359129
228838"
10717,"8499241
228583"
10719,"734214
228556"
10748,"354661
6704196
228277"
10787,"362065
227937"
10829,"552915
227565"
10837,"351928
227480"
10859,"1104475
227302"
10878,"536114
227187"
10949,"892296
226559"
10978,"6326431
226298"
10993,"837893
226215"
11015,"359840
226025"
11082,"365155
225467"
11089,"7053929
219026"
11107,"363040
225240"
11131,"361162
224978
991981"
11165,"352703
224731"
11231,"919622
224244"
11276,"354671
223317"
11309,"897834
222715"
11359,"892341
221681"
11374,"2679949
176931"
11459,"897800
219494"
11460,"352954
219526"
11469,"892338
219435"
11493,"353942
230786
218988"
11499,"361076
218881"
11506,"362891
218715"
11526,"349619
217767"
11530,"745529
217684"
11547,"367857
217505"
11594,"897797
217070"
11693,"366730
216242"
11729,"892460
215936"
11730,"356867
1357043
215930"
11779,"564935
215645"
11794,"356554
215484"
11842,"885643
215086"
11843,"359219
215082"
11844,"3743760
215039"
11881,"3951230
214712"
11956,"1455895
214151"
11978,"877081
213865"
11980,"359768
213855"
12033,"733629
213233"
12054,"351888
212776"
12056,"351302
212736"
12070,"364017
212445"
12111,"350827
211017
211015"
12134,"352128
210069"
12199,"3188166
208199"
12210,"4775907
207741"
12218,"892337
207400"
12236,"359781
206917"
12246,"352951
206633"
12307,"897753
205732"
12389,"565340
204996"
12406,"892351
204830"
12419,"416772
204640"
12446,"891759
204357"
12488,"363667
203939"
12524,"361657
203567"
12557,"692493
203370"
12621,"1011695
202848
202736
202733
146661
146658
146794"
12636,"1294691
202666
993750"
12666,"361291
202487"
12699,"363517
202240"
12701,"353161
202224"
12709,"367056
202134
360557
195443
5675043"
12912,"527730
200403"
12922,"528270
200298"
12925,"349598
200289"
12935,"981003
199782"
13015,"349397
198831"
13025,"3529391
198701
198708"
13028,"362057
85915"
13035,"3704161
176934"
13044,"984441
198550"
13046,"956910
198539"
13054,"362075
198499"
13126,"415210
197830"
13156,"351447
197608"
13166,"1274211
197516"
13172,"691981
197471"
13177,"579146
197400"
13210,"760293
197273"
13224,"691925
197148"
13292,"875903
196698"
13318,"599908
196373"
13325,"547916
196335"
13335,"6305526
10146762
176935"
13346,"359317
196160"
13356,"364750
196105"
13358,"353945
196075"
13436,"8617102
426889
195507"
13441,"1663334
195479"
13507,"364810
194918"
13568,"360107
194455"
13576,"366933
194382"
